Name,Pop.[B],Area[B],County[D],
Adairville,852,1.1 sq mi (2.8 km2),Logan,
Albany,"2,033",2.3 sq mi (6.0 km2),Clinton,
Alexandria,"8,477",7.0 sq mi (18.1 km2),Campbell,
Allen,193,0.2 sq mi (0.5 km2),Floyd,
Anchorage,"2,348",3.0 sq mi (7.8 km2),Jefferson,
Arlington,324,0.4 sq mi (1.0 km2),Carlisle,
Ashland,"21,684",10.8 sq mi (28.0 km2),Boyd,
Auburn,"1,340",1.6 sq mi (4.1 km2),Logan,
Audubon Park,"1,473",0.3 sq mi (0.8 km2),Jefferson,
Augusta,"1,190",1.6 sq mi (4.1 km2),Bracken,
Bancroft,494,0.2 sq mi (0.5 km2),Jefferson,
Barbourmeade,"1,218",0.4 sq mi (1.0 km2),Jefferson,
Barbourville,"3,165",2.7 sq mi (7.0 km2),Knox,
Bardstown,"11,700",10.6 sq mi (27.5 km2),Nelson,
Bardwell,723,0.9 sq mi (2.3 km2),Carlisle,
Barlow,675,0.6 sq mi (1.6 km2),Ballard,
Beattyville,"1,307",2.1 sq mi (5.4 km2),Lee,
Beaver Dam,"3,409",2.6 sq mi (6.7 km2),Ohio,
Bedford,599,0.3 sq mi (0.8 km2),Trimble,
Beechwood Village,"1,324",0.3 sq mi (0.8 km2),Jefferson,
Bellefonte,888,0.9 sq mi (2.3 km2),Greenup,
Bellemeade,865,0.3 sq mi (0.8 km2),Jefferson,
Bellevue,"5,955",0.9 sq mi (2.3 km2),Campbell,
Bellewood,321,0.1 sq mi (0.3 km2),Jefferson,
Benham,500,0.2 sq mi (0.5 km2),Harlan,
Benton,"4,349",4.2 sq mi (10.9 km2),Marshall,
Berea,"13,561",16.1 sq mi (41.7 km2),Madison,
Berry,264,0.3 sq mi (0.8 km2),Harrison,
Blackey,120,0.5 sq mi (1.3 km2),Letcher,
Blaine,47,0.3 sq mi (0.8 km2),Lawrence,
Blandville,90,0.2 sq mi (0.5 km2),Ballard,
Bloomfield,838,1.3 sq mi (3.4 km2),Nelson,
Blue Ridge Manor,767,0.2 sq mi (0.5 km2),Jefferson,
Bonnieville,255,0.6 sq mi (1.6 km2),Hart,
Booneville,81,0.6 sq mi (1.6 km2),Owsley,
Bowling Green,"58,067",38.1 sq mi (98.7 km2),Warren,
Bradfordsville,294,0.3 sq mi (0.8 km2),Marion,
Brandenburg,"2,643",3.9 sq mi (10.1 km2),Meade,
Bremen,197,0.2 sq mi (0.5 km2),Muhlenberg,
Briarwood,435,0.1 sq mi (0.3 km2),Jefferson,
Brodhead,"1,211",1.8 sq mi (4.7 km2),Rockcastle,
Broeck Pointe,272,0.1 sq mi (0.3 km2),Jefferson,
Bromley,763,0.4 sq mi (1.0 km2),Kenton,
Brooksville,642,0.5 sq mi (1.3 km2),Bracken,
Brownsboro Farm,648,0.2 sq mi (0.5 km2),Jefferson,
Brownsboro Village,319,0.1 sq mi (0.3 km2),Jefferson,
Brownsville,836,2.6 sq mi (6.7 km2),Edmonson,
Buckhorn,162,0.4 sq mi (1.0 km2),Perry,
Burgin,965,1.3 sq mi (3.4 km2),Mercer,
Burkesville,"1,521",2.6 sq mi (6.7 km2),Cumberland,
Burnside,611,8.2 sq mi (21.2 km2),Pulaski,
Butler,612,0.2 sq mi (0.5 km2),Pendleton,
Cadiz,"2,558",2.9 sq mi (7.5 km2),Trigg,
Calhoun,763,0.7 sq mi (1.8 km2),McLean,
California,90,0.3 sq mi (0.8 km2),Campbell,
Calvert City,"2,566",16.7 sq mi (43.3 km2),Marshall,
Camargo,"1,081",2.2 sq mi (5.7 km2),Montgomery,
Cambridge,175,0.1 sq mi (0.3 km2),Jefferson,
Campbellsburg,813,1.6 sq mi (4.1 km2),Henry,
Campbellsville,"9,108",5.1 sq mi (13.2 km2),Taylor,
Campton,441,1.0 sq mi (2.6 km2),Wolfe,
Caneyville,608,1.6 sq mi (4.1 km2),Grayson,
Carlisle,"2,010",1.3 sq mi (3.4 km2),Nicholas,
Carrollton,"3,938",2.0 sq mi (5.2 km2),Carroll,
Carrsville,50,0.1 sq mi (0.3 km2),Livingston,
Catlettsburg,"1,856",1.6 sq mi (4.1 km2),Boyd,
Cave City,"2,240",4.4 sq mi (11.4 km2),Barren,
Centertown,423,0.3 sq mi (0.8 km2),Ohio,
Central City,"5,978",5.2 sq mi (13.5 km2),Muhlenberg,
Clarkson,875,1.1 sq mi (2.8 km2),Grayson,
Clay,"1,181",0.9 sq mi (2.3 km2),Webster,
Clay City,"1,077",0.9 sq mi (2.3 km2),Powell,
Clinton,"1,388",1.6 sq mi (4.1 km2),Hickman,
Cloverport,"1,152",1.5 sq mi (3.9 km2),Breckinridge,
Coal Run Village,"1,706",8.6 sq mi (22.3 km2),Pike,
Cold Spring,"5,912",4.7 sq mi (12.2 km2),Campbell,
Coldstream,"1,100",0.2 sq mi (0.5 km2),Jefferson,
Columbia,"4,452",4.9 sq mi (12.7 km2),Adair,
Columbus,170,0.3 sq mi (0.8 km2),Hickman,
Concord,35,0.1 sq mi (0.3 km2),Lewis,
Corbin,"7,304",7.9 sq mi (20.5 km2),"Whitley
Knox",
Corinth,232,2.1 sq mi (5.4 km2),Grant,
Corydon,720,0.5 sq mi (1.3 km2),Henderson,
Covington,"40,640",13.8 sq mi (35.7 km2),Kenton,
Crab Orchard,841,1.8 sq mi (4.7 km2),Lincoln,
Creekside,305,0.1 sq mi (0.3 km2),Jefferson,
Crescent Springs,"3,801",1.5 sq mi (3.9 km2),Kenton,
Crestview,475,0.2 sq mi (0.5 km2),Campbell,
Crestview Hills,"3,148",1.9 sq mi (4.9 km2),Kenton,
Crestwood,"4,531",4.1 sq mi (10.6 km2),Oldham,
Crittenden,"3,815",3.4 sq mi (8.8 km2),Grant,
Crofton,749,0.6 sq mi (1.6 km2),Christian,
Crossgate,225,0.1 sq mi (0.3 km2),Jefferson,
Cumberland,"2,237",3.1 sq mi (8.0 km2),Harlan,
Cynthiana,"6,402",4.1 sq mi (10.6 km2),Harrison,
Danville,"16,218",15.9 sq mi (41.2 km2),Boyle,
Dawson Springs,"2,764",3.8 sq mi (9.8 km2),"Hopkins
Caldwell",
Dayton,"5,338",1.9 sq mi (4.9 km2),Campbell,
Dixon,786,1.0 sq mi (2.6 km2),Webster,
Douglass Hills,"5,484",1.3 sq mi (3.4 km2),Jefferson,
Dover,252,0.5 sq mi (1.3 km2),Mason,
Drakesboro,515,0.6 sq mi (1.6 km2),Muhlenberg,
Druid Hills,308,0.1 sq mi (0.3 km2),Jefferson,
Dry Ridge,"2,191",4.6 sq mi (11.9 km2),Grant,
Earlington,"1,413",2.5 sq mi (6.5 km2),Hopkins,
Eddyville,"2,554",7.8 sq mi (20.2 km2),Lyon,
Edgewood,"8,575",4.2 sq mi (10.9 km2),Kenton,
Edmonton,"1,595",3.4 sq mi (8.8 km2),Metcalfe,
Ekron,135,0.1 sq mi (0.3 km2),Meade,
Elizabethtown,"28,531",25.8 sq mi (66.8 km2),Hardin,
Elkhorn City,982,2.6 sq mi (6.7 km2),Pike,
Elkton,"2,062",2.1 sq mi (5.4 km2),Todd,
Elsmere,"8,451",2.6 sq mi (6.7 km2),Kenton,
Eminence,"2,498",2.9 sq mi (7.5 km2),Henry,
Erlanger,"18,082",8.5 sq mi (22.0 km2),Kenton,
Eubank,319,0.9 sq mi (2.3 km2),"Pulaski
Lincoln",
Evarts,962,0.5 sq mi (1.3 km2),Harlan,
Ewing,264,0.3 sq mi (0.8 km2),Fleming,
Fairfield,113,0.3 sq mi (0.8 km2),Nelson,
Fairview,143,0.7 sq mi (1.8 km2),Kenton,
Falmouth,"2,169",1.1 sq mi (2.8 km2),Pendleton,
Ferguson,924,1.8 sq mi (4.7 km2),Pulaski,
Fincastle,817,0.2 sq mi (0.5 km2),Jefferson,
Flatwoods,"7,423",3.3 sq mi (8.5 km2),Greenup,
Fleming-Neon,770,1.6 sq mi (4.1 km2),Letcher,
Flemingsburg,"2,658",2.0 sq mi (5.2 km2),Fleming,
Florence,"29,951",10.4 sq mi (26.9 km2),Boone,
Fordsville,524,0.5 sq mi (1.3 km2),Ohio,
Forest Hills,444,0.3 sq mi (0.8 km2),Jefferson,
Fort Mitchell,"8,207",3.2 sq mi (8.3 km2),Kenton,
Fort Thomas,"16,325",5.7 sq mi (14.8 km2),Campbell,
Fort Wright,"5,723",3.4 sq mi (8.8 km2),Kenton,
Fountain Run,217,1.3 sq mi (3.4 km2),Monroe,
Fox Chase,447,0.4 sq mi (1.0 km2),Bullitt,
Frankfort,"25,527",14.6 sq mi (37.8 km2),Franklin,
Franklin,"8,408",11.1 sq mi (28.7 km2),Simpson,
Fredonia,401,0.6 sq mi (1.6 km2),Caldwell,
Frenchburg,486,0.8 sq mi (2.1 km2),Menifee,
Fulton,"2,445",3.0 sq mi (7.8 km2),Fulton,
Gamaliel,376,0.6 sq mi (1.6 km2),Monroe,
Georgetown,"29,098",16.0 sq mi (41.4 km2),Scott,
Germantown,154,0.1 sq mi (0.3 km2),"Bracken
Mason",
Ghent,323,0.7 sq mi (1.8 km2),Carroll,
Glasgow,"14,028",15.5 sq mi (40.1 km2),Barren,
Glencoe,360,1.8 sq mi (4.7 km2),Gallatin,
Glenview,531,1.4 sq mi (3.6 km2),Jefferson,
Glenview Hills,319,0.1 sq mi (0.3 km2),Jefferson,
Glenview Manor,191,0.1 sq mi (0.3 km2),Jefferson,
Goose Creek,294,0.1 sq mi (0.3 km2),Jefferson,
Goshen,909,0.2 sq mi (0.5 km2),Oldham,
Grand Rivers,382,2.0 sq mi (5.2 km2),Livingston,
Gratz,78,0.4 sq mi (1.0 km2),Owen,
Graymoor-Devondale,"2,870",0.8 sq mi (2.1 km2),Jefferson,
Grayson,"4,217",2.9 sq mi (7.5 km2),Carter,
Green Spring,715,0.3 sq mi (0.8 km2),Jefferson,
Greensburg,"2,163",2.1 sq mi (5.4 km2),Green,
Greenup,"1,188",1.2 sq mi (3.1 km2),Greenup,
Greenville,"4,312",4.7 sq mi (12.2 km2),Muhlenberg,
Guthrie,"1,419",1.7 sq mi (4.4 km2),Todd,
Hanson,742,2.6 sq mi (6.7 km2),Hopkins,
Hardin,615,0.7 sq mi (1.8 km2),Marshall,
Hardinsburg,"2,343",3.5 sq mi (9.1 km2),Breckinridge,
Harlan,"1,745",1.3 sq mi (3.4 km2),Harlan,
Harrodsburg,"8,340",6.9 sq mi (17.9 km2),Mercer,
Hartford,"2,672",2.7 sq mi (7.0 km2),Ohio,
Hawesville,945,1.3 sq mi (3.4 km2),Hancock,
Hazard,"4,456",5.3 sq mi (13.7 km2),Perry,
Hazel,410,0.4 sq mi (1.0 km2),Calloway,
