State,Cancer Type,Mortality Rate
All U.S. combined,All cancer types combined / Both sexes combined,166
All U.S. combined,All cancer types combined / Female,141.5
All U.S. combined,All cancer types combined / Male,200.4
All U.S. combined,Brain and other nervous system / Both sexes combined,4.3
All U.S. combined,Brain and other nervous system / Female,3.5
All U.S. combined,Brain and other nervous system / Male,5.3
All U.S. combined,Breast / Both sexes combined,21.2 
All U.S. combined,Breast / Female,21.2
All U.S. combined,Breast / Male,n/a
All U.S. combined,Cervix / Both sexes combined,2.3
All U.S. combined,Cervix / Female,2.3
All U.S. combined,Cervix / Male,n/a
All U.S. combined,Colorectum / Both sexes combined,14.8
All U.S. combined,Colorectum / Female,12.4
All U.S. combined,Colorectum / Male,17.7
All U.S. combined,Esophagus / Both sexes combined,4.1
All U.S. combined,Esophagus / Female,1.5
All U.S. combined,Esophagus / Male,7.3
All U.S. combined,Hodgkin lymphoma / Both sexes combined,0.3
All U.S. combined,Hodgkin lymphoma / Female,0.3
All U.S. combined,Hodgkin lymphoma / Male,0.4
All U.S. combined,Kidney and renal pelvis / Both sexes combined,3.9
All U.S. combined,Kidney and renal pelvis / Female,2.4
All U.S. combined,Kidney and renal pelvis / Male,5.6
All U.S. combined,Larynx / Both sexes combined,1
All U.S. combined,Larynx / Female,0.4
All U.S. combined,Larynx / Male,1.9
All U.S. combined,Leukemia / Both sexes combined,6.8
All U.S. combined,Leukemia / Female,5.1
All U.S. combined,Leukemia / Male,9.1
All U.S. combined,Liver and intrahepatic bile duct / Both sexes combined,6.3
All U.S. combined,Liver and intrahepatic bile duct / Female,3.7
All U.S. combined,Liver and intrahepatic bile duct / Male,9.2
All U.S. combined,Lung and bronchus / Both sexes combined,44.7
All U.S. combined,Lung and bronchus / Female,36.3
All U.S. combined,Lung and bronchus / Male,55.9
All U.S. combined,Melanoma of the skin / Both sexes combined,2.7
All U.S. combined,Melanoma of the skin / Female,1.7
All U.S. combined,Melanoma of the skin / Male,4
All U.S. combined,Myeloma / Both sexes combined,3.3
All U.S. combined,Myeloma / Female,2.7
All U.S. combined,Myeloma / Male,4.2
All U.S. combined,Non-Hodgkin lymphoma / Both sexes combined,5.9
All U.S. combined,Non-Hodgkin lymphoma / Female,4.6
All U.S. combined,Non-Hodgkin lymphoma / Male,7.6
All U.S. combined,Oral cavity and pharynx / Both sexes combined,2.5
All U.S. combined,Oral cavity and pharynx / Female,1.3
All U.S. combined,Oral cavity and pharynx / Male,3.8
All U.S. combined,Ovary / Both sexes combined,7.4
All U.S. combined,Ovary / Female,7.4
All U.S. combined,Ovary / Male,n/a
All U.S. combined,Pancreas / Both sexes combined,10.9
All U.S. combined,Pancreas / Female,9.5
All U.S. combined,Pancreas / Male,12.6
All U.S. combined,Prostate / Both sexes combined,20
All U.S. combined,Prostate / Female,n/a
All U.S. combined,Prostate / Male,20
All U.S. combined,Stomach / Both sexes combined,3.2
All U.S. combined,Stomach / Female,2.3
All U.S. combined,Stomach / Male,4.4
All U.S. combined,Testis / Both sexes combined,0.3
All U.S. combined,Testis / Female,n/a
All U.S. combined,Testis / Male,0.3
All U.S. combined,Thyroid / Both sexes combined,0.5
All U.S. combined,Thyroid / Female,0.5
All U.S. combined,Thyroid / Male,0.5
All U.S. combined,Urinary bladder / Both sexes combined,4.4
All U.S. combined,Urinary bladder / Female,2.2
All U.S. combined,Urinary bladder / Male,7.6
All U.S. combined,Uterine corpus / Both sexes combined,4.6
All U.S. combined,Uterine corpus / Female,4.6
All U.S. combined,Uterine corpus / Male,n/a
Alabama,All cancer types combined / Both sexes combined,184.4
Alabama,All cancer types combined / Female,148.2
Alabama,All cancer types combined / Male,235.7
Alabama,Brain and other nervous system / Both sexes combined,5
