State,Cancer Type,Mortality Rate
All U.S. combined,Lung and bronchus / Both sexes combined,44.7
All U.S. combined,Lung and bronchus / Female,36.3
All U.S. combined,Lung and bronchus / Male,55.9
Alabama,Lung and bronchus / Both sexes combined,55.5
Alabama,Lung and bronchus / Female,39.5
Alabama,Lung and bronchus / Male,77.1
Alaska,Lung and bronchus / Both sexes combined,47.6
Alaska,Lung and bronchus / Female,41.7
Alaska,Lung and bronchus / Male,54.7
Arizona,Lung and bronchus / Both sexes combined,36.1
Arizona,Lung and bronchus / Female,30.4
Arizona,Lung and bronchus / Male,42.9
Arkansas,Lung and bronchus / Both sexes combined,60.1
Arkansas,Lung and bronchus / Female,43.9
Arkansas,Lung and bronchus / Male,81
California,Lung and bronchus / Both sexes combined,33.4
California,Lung and bronchus / Female,28.5
California,Lung and bronchus / Male,39.8
Colorado,Lung and bronchus / Both sexes combined,31.7
Colorado,Lung and bronchus / Female,28.1
Colorado,Lung and bronchus / Male,36.4
Connecticut,Lung and bronchus / Both sexes combined,39.3
Connecticut,Lung and bronchus / Female,34.4
Connecticut,Lung and bronchus / Male,46.3
Delaware,Lung and bronchus / Both sexes combined,51.1
Delaware,Lung and bronchus / Female,42.6
Delaware,Lung and bronchus / Male,62.3
District of Columbia,Lung and bronchus / Both sexes combined,40.3
District of Columbia,Lung and bronchus / Female,33.5
District of Columbia,Lung and bronchus / Male,49.6
Florida,Lung and bronchus / Both sexes combined,43.8
Florida,Lung and bronchus / Female,35.5
Florida,Lung and bronchus / Male,54.1
Georgia,Lung and bronchus / Both sexes combined,47.6
Georgia,Lung and bronchus / Female,35.6
Georgia,Lung and bronchus / Male,64.1
Hawaii,Lung and bronchus / Both sexes combined,32.1
Hawaii,Lung and bronchus / Female,25.1
Hawaii,Lung and bronchus / Male,40.8
Idaho,Lung and bronchus / Both sexes combined,37
Idaho,Lung and bronchus / Female,31.4
Idaho,Lung and bronchus / Male,43.7
Illinois,Lung and bronchus / Both sexes combined,47.6
Illinois,Lung and bronchus / Female,39.4
Illinois,Lung and bronchus / Male,59
Indiana,Lung and bronchus / Both sexes combined,55.1
Indiana,Lung and bronchus / Female,42.9
Indiana,Lung and bronchus / Male,71.2
Iowa,Lung and bronchus / Both sexes combined,46
Iowa,Lung and bronchus / Female,36
Iowa,Lung and bronchus / Male,59.1
Kansas,Lung and bronchus / Both sexes combined,46.6
Kansas,Lung and bronchus / Female,38.4
Kansas,Lung and bronchus / Male,57.3
Kentucky,Lung and bronchus / Both sexes combined,69.6
Kentucky,Lung and bronchus / Female,54.7
Kentucky,Lung and bronchus / Male,89.6
Louisiana,Lung and bronchus / Both sexes combined,55
Louisiana,Lung and bronchus / Female,41.5
Louisiana,Lung and bronchus / Male,72.9
Maine,Lung and bronchus / Both sexes combined,52.5
Maine,Lung and bronchus / Female,43.3
Maine,Lung and bronchus / Male,64.4
Maryland,Lung and bronchus / Both sexes combined,43.2
Maryland,Lung and bronchus / Female,36.6
Maryland,Lung and bronchus / Male,52.2
Massachusetts,Lung and bronchus / Both sexes combined,43.7
Massachusetts,Lung and bronchus / Female,38
Massachusetts,Lung and bronchus / Male,51.8
Michigan,Lung and bronchus / Both sexes combined,49.8
Michigan,Lung and bronchus / Female,41.5
Michigan,Lung and bronchus / Male,60.8
Minnesota,Lung and bronchus / Both sexes combined,39.7
Minnesota,Lung and bronchus / Female,33.9
Minnesota,Lung and bronchus / Male,47.6
Mississippi,Lung and bronchus / Both sexes combined,58.8
Mississippi,Lung and bronchus / Female,41
